FVL,FVI,FVR,AVL,AVR,RVL,RVI,RVR,directory
179,2332,1659,105,298,916,747,1336,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_104.xlsx
1333,1122,1911,310,460,1110,2394,2042,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_105.xlsx
1331,1083,1639,735,669,539,319,0,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_108.xlsx
1301,1497,2247,267,383,1301,662,2070,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_109.xlsx
1051,1441,1649,339,1257,1314,211,2409,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_110.xlsx
869,2183,1244,152,14,1746,1456,847,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_111.xlsx
772,902,1127,10,17,1037,240,561,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_116.xlsx
2352,1394,1965,318,236,1465,2390,2069,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_119.xlsx
1837,1956,1656,155,311,1398,1082,1168,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_120.xlsx
1198,2277,606,402,6,993,1877,684,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_121.xlsx
1798,683,1137,194,1122,1403,277,922,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_124.xlsx
1099,2342,1527,313,208,1072,77,2024,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_126.xlsx
1670,2273,1261,631,73,1844,178,0,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_127.xlsx
1781,1184,512,1399,48,929,2379,754,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_129.xlsx
1614,0,456,807,143,1700,1425,1124,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_130.xlsx
1275,0,325,926,7,2296,1188,694,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_131.xlsx
789,1892,1285,641,188,878,1141,1796,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_132.xlsx
2047,2216,1714,1663,135,1443,654,624,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_133.xlsx
1424,1252,2153,278,271,2042,1997,2103,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_134.xlsx
1311,1932,1907,367,208,942,608,2127,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_135.xlsx
1751,2301,2068,501,527,1941,934,2256,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_136.xlsx
1728,2180,2059,285,503,1736,1767,2409,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_137.xlsx
2009,2183,1935,331,131,2354,1053,1051,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_138.xlsx
2120,1995,2168,127,165,1983,916,2057,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_139.xlsx
2369,1263,2294,1159,100,2129,709,1635,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_140.xlsx
2095,1073,2017,545,263,2126,1175,2287,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_141.xlsx
1910,1672,2409,124,25,1512,2409,1512,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_142.xlsx
1844,2409,2330,164,199,1303,1084,2326,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_143.xlsx
2138,2272,1903,367,834,1968,850,1737,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_144.xlsx
375,1848,2391,8,14,200,45,2288,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_145.xlsx
2184,2001,1293,223,187,1585,2245,1187,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_146.xlsx
1426,1716,2011,213,61,2267,30,1475,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_147.xlsx
