FVL,FVI,FVR,AVL,AVR,RVL,RVI,RVR,directory
1386,813,1759,147,73,2106,2200,2315,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_043.xlsx
1866,2397,2182,517,15,2409,1419,0,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_058.xlsx
803,0,210,408,4,915,2265,0,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_071.xlsx
718,2090,1114,307,1,2100,2017,718,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_072.xlsx
990,133,1449,279,223,2097,156,943,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_079.xlsx
195,163,1734,43,1397,2090,2254,2288,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_080.xlsx
1472,30,578,32,0,2409,619,24,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_081.xlsx
290,888,812,5,86,62,582,1342,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_082.xlsx
1266,330,1673,29,20,1295,891,1395,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_085.xlsx
1301,763,1495,81,5,1414,1378,914,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_086.xlsx
972,166,1358,17,31,1393,668,991,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_090.xlsx
783,43,1016,19,19,1417,283,475,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_092.xlsx
1035,42,879,14,3,1020,784,275,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_093.xlsx
762,651,1396,18,16,753,271,1344,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_094.xlsx
197,150,888,3,42,40,13,1594,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_102.xlsx
1851,1698,2050,393,116,946,1019,2279,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_103.xlsx
1431,1857,1084,114,594,1709,1672,830,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_104.xlsx
333,1040,583,113,40,987,496,1309,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_132.xlsx
1339,1321,1778,10,48,869,1663,1563,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_161.xlsx
374,139,1057,16,451,2090,2,2376,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_162.xlsx
420,1780,834,4,55,1036,2409,2297,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_169.xlsx
31,0,1204,2,92,6,6,1814,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_187.xlsx
326,1034,419,55,101,1123,1529,1571,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_193.xlsx
372,479,744,752,43,0,38,1013,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_194.xlsx
930,1328,1975,105,127,1557,1143,1090,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_195.xlsx
1323,1351,1710,157,495,1081,53,1735,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_196.xlsx
583,379,461,11,20,1257,306,1200,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_198.xlsx
245,824,441,5,623,70,2409,2167,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_202.xlsx
554,492,1333,22,506,378,306,1847,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_236.xlsx
155,0,993,393,82,579,3,2067,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_237.xlsx
1695,696,1684,121,0,0,1006,291,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_238.xlsx
418,570,1575,2,20,762,520,388,\\192.168.75.251\Shares\FOT_Genesis Data_1\mat\RG3_030223\Perception\Recognition\Recognition_RG3_030223_243.xlsx
1391,435,1981,19,28,425,654,2047,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_008.xlsx
526,782,1551,171,4,917,68,224,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_009.xlsx
1378,876,1769,59,31,378,474,1526,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_010.xlsx
1791,658,2125,75,2,857,1374,1276,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_012.xlsx
1536,1811,1185,345,1,1446,440,973,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_013.xlsx
1371,853,1463,77,15,798,1511,669,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_022.xlsx
1258,1009,1580,166,40,665,224,1955,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_023.xlsx
376,2355,1902,312,42,2393,266,1174,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_024.xlsx
1172,1028,1704,5,20,82,119,2320,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_025.xlsx
568,7,156,50,9,1830,1,13,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_038.xlsx
1521,637,1408,1,124,1097,1,2221,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_046.xlsx
119,705,1111,17,41,3,12,1660,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_084.xlsx
528,583,625,4,401,177,723,1845,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_085.xlsx
847,1258,1996,147,80,1879,720,1938,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_086.xlsx
1254,2028,967,199,13,626,579,498,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_088.xlsx
2146,2238,2186,563,638,2176,977,2409,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_094.xlsx
1596,1922,2340,367,254,406,1585,1742,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_095.xlsx
1197,1871,1591,89,45,677,757,1165,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_097.xlsx
1061,2385,1103,449,322,2085,1018,1301,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_098.xlsx
1949,1891,477,13,2387,130,7,567,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_099.xlsx
1526,1215,761,333,23,2138,155,1933,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_100.xlsx
1826,1658,2040,295,36,1457,501,1893,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_101.xlsx
647,2397,1723,66,161,624,782,2358,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_102.xlsx
693,1908,265,41,11,274,1758,1285,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_133.xlsx
1080,1033,1824,90,51,508,2409,2409,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_140.xlsx
2203,1360,2177,73,804,920,1367,1783,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_141.xlsx
917,974,1435,54,94,783,806,2149,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_144.xlsx
1498,1319,1974,341,198,890,2409,1380,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_145.xlsx
1189,2342,1755,111,59,1182,929,967,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_146.xlsx
1345,1326,1435,1056,54,1233,471,1472,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_149.xlsx
1211,1377,1931,173,159,1040,2174,2409,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_150.xlsx
1177,2409,830,463,2,2126,1456,1158,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_151.xlsx
1610,1367,920,427,66,1962,477,2070,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_152.xlsx
970,2371,1655,142,1029,2279,762,1733,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_153.xlsx
704,0,520,58,180,1222,121,1260,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_154.xlsx
533,775,1702,41,312,540,1953,2256,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_155.xlsx
1013,0,1082,58,67,1332,1149,2005,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_156.xlsx
1011,2353,2244,140,1299,864,1010,1176,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_157.xlsx
621,0,441,587,32,1638,1189,425,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_159.xlsx
425,0,580,260,22,1203,2,1524,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_160.xlsx
715,230,278,29,61,948,874,445,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_161.xlsx
321,0,168,21,228,1612,5,1199,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_164.xlsx
444,0,311,30,20,292,2,1260,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_166.xlsx
818,447,1385,44,177,988,2378,2140,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_168.xlsx
418,352,59,300,25,1439,899,1570,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_169.xlsx
1290,0,95,49,24,1173,1209,987,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_170.xlsx
388,0,1119,35,36,1450,285,624,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_171.xlsx
186,0,1131,12,21,1293,1,969,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_172.xlsx
350,902,557,24,530,1685,867,2060,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_173.xlsx
85,0,258,8,74,372,3,1027,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_174.xlsx
663,0,140,18,22,1050,1234,420,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_175.xlsx
1492,0,358,25,66,544,1297,2211,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_176.xlsx
147,0,122,8,8,1743,1314,1207,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_177.xlsx
406,2409,461,201,209,842,5,2181,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_181.xlsx
36,0,171,2,15,4,1781,1661,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_205.xlsx
1129,261,694,64,0,157,26,784,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_207.xlsx
647,26,793,1566,74,1755,24,1890,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_209.xlsx
325,0,1445,1,404,567,14,425,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_210.xlsx
1188,195,1540,14,6,0,2409,644,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030323\Perception\Recognition\Recognition_RG3_030323_211.xlsx
767,1774,1526,80,42,1024,152,137,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_002.xlsx
578,0,327,1097,0,586,288,449,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_005.xlsx
1155,800,1840,305,111,970,24,1941,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_006.xlsx
1222,2038,1638,174,64,1652,662,600,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_007.xlsx
1232,2316,1712,79,222,467,197,1401,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_008.xlsx
867,34,660,64,39,1760,322,1019,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_009.xlsx
777,2009,1779,14,0,242,245,1998,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_011.xlsx
1554,1049,2037,186,273,614,1114,543,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_029.xlsx
2211,1522,2395,36,29,631,1220,1976,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_030.xlsx
2095,199,309,1,19,110,2373,233,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_031.xlsx
401,597,765,25,17,820,440,200,D:\Shares\Shares\FOT_Genesis Data_1\mat\RG3_030423\Perception\Recognition\Recognition_RG3_030423_040.xlsx
